gender,cgpa,stream,work_experience,internship_experience,technical_proficiency,communication_skills,leadership_role,num_projects,competitions_won,final_package
Female,5.55,HR,27.4,1.3,3.6,3.6,Member,1,0,3 - 6 LPA
Female,6.79,International Business,0.1,4.5,3.5,3.1,Organizer,6,0,3 - 6 LPA
Male,6.49,Operations,6.1,1.4,4.1,5.0,Organizer,1,1,3 - 6 LPA
Female,4.69,International Business,14.6,3.1,2.8,2.5,Joint Coordinator,3,2,3 - 6 LPA
Prefer not to say,8.88,International Business,11.1,7.6,3.2,3.3,Joint Coordinator,5,2,11 - 15 LPA
Female,7.97,Operations,26.1,2.0,4.4,1.1,Member,1,0,7 - 10 LPA
Prefer not to say,4.6,Marketing,4.6,1.7,3.5,4.6,Joint Coordinator,1,1,3 - 6 LPA
Female,9.1,Marketing,18.5,12.2,4.3,3.2,None,2,1,7 - 10 LPA
Female,4.12,HR,1.0,18.9,3.9,2.6,Coordinator,5,1,3 - 6 LPA
Male,4.59,International Business,17.0,5.0,3.3,4.0,None,2,1,3 - 6 LPA
Male,6.68,Operations,16.0,3.4,2.0,2.0,Organizer,1,2,7 - 10 LPA
Prefer not to say,6.31,Marketing,1.7,14.1,3.3,2.9,Member,2,0,3 - 6 LPA
Male,4.19,Operations,14.0,2.2,4.3,2.8,Coordinator,1,2,3 - 6 LPA
Female,6.25,Business Analytics,7.6,1.1,3.0,3.2,Coordinator,3,0,3 - 6 LPA
Prefer not to say,5.32,International Business,5.7,9.3,1.5,1.7,Member,2,2,3 - 6 LPA
Female,7.71,HR,0.5,4.5,2.1,1.9,Joint Coordinator,5,0,3 - 6 LPA
Male,9.43,Operations,15.5,24.0,2.5,2.2,Coordinator,1,0,7 - 10 LPA
Prefer not to say,6.66,International Business,15.4,2.2,3.2,2.5,Organizer,2,3,7 - 10 LPA
Male,5.76,Business Analytics,6.6,4.4,4.9,3.3,Coordinator,2,1,3 - 6 LPA
Female,9.95,International Business,7.8,0.7,2.5,3.6,Joint Coordinator,1,0,7 - 10 LPA
Prefer not to say,4.96,International Business,7.1,0.7,3.6,2.3,Organizer,5,1,3 - 6 LPA
Prefer not to say,5.28,Business Analytics,23.4,3.4,2.0,2.3,Member,3,2,7 - 10 LPA
Female,7.72,HR,26.7,10.8,4.8,4.2,None,3,0,7 - 10 LPA
Male,9.15,Finance,1.3,1.4,3.5,1.6,Joint Coordinator,2,2,7 - 10 LPA
Prefer not to say,4.8,Operations,15.4,9.8,3.7,3.9,Joint Coordinator,2,2,3 - 6 LPA
Prefer not to say,9.78,Marketing,23.8,7.2,2.4,3.6,Organizer,0,2,11 - 15 LPA
Male,8.68,Marketing,0.7,2.0,4.3,3.6,Organizer,0,0,3 - 6 LPA
Male,5.29,Finance,100.6,6.7,2.3,2.8,Member,3,2,16 - 20 LPA
Female,6.09,International Business,11.0,16.6,3.5,4.6,Organizer,1,1,3 - 6 LPA
Prefer not to say,8.51,International Business,3.8,0.6,3.7,2.8,Member,2,0,3 - 6 LPA
Female,6.84,HR,23.5,20.8,1.7,3.0,Member,2,2,7 - 10 LPA
Prefer not to say,7.36,HR,18.7,6.8,3.5,2.3,Member,3,1,7 - 10 LPA
Prefer not to say,6.26,International Business,6.1,20.1,4.0,1.5,Organizer,2,0,3 - 6 LPA
Female,4.3,Marketing,10.9,2.6,3.7,3.1,Coordinator,1,0,3 - 6 LPA
Male,6.78,Finance,18.4,5.2,1.0,2.9,Coordinator,1,1,3 - 6 LPA
Male,8.63,International Business,12.8,1.9,3.6,3.0,None,0,0,3 - 6 LPA
Male,6.69,Finance,15.3,1.4,3.2,3.6,Organizer,3,0,3 - 6 LPA
Male,9.47,International Business,1.5,17.2,3.2,3.0,Joint Coordinator,2,1,7 - 10 LPA
Prefer not to say,8.7,Operations,2.6,3.3,2.1,2.8,Joint Coordinator,2,2,7 - 10 LPA
Female,7.55,Business Analytics,20.4,8.6,4.0,3.9,Coordinator,0,2,7 - 10 LPA
Female,4.07,Marketing,25.3,7.5,3.6,2.9,Coordinator,7,0,3 - 6 LPA
Male,5.4,International Business,4.6,10.2,3.0,4.4,Member,3,2,3 - 6 LPA
Female,6.2,Business Analytics,1.0,6.1,3.5,4.0,Coordinator,1,1,3 - 6 LPA
Female,5.35,Operations,25.4,23.8,4.2,4.5,Joint Coordinator,1,0,3 - 6 LPA
Female,7.51,Operations,2.5,12.9,3.1,1.6,None,2,2,7 - 10 LPA
Female,7.82,Marketing,1.9,5.8,3.9,3.1,Organizer,1,0,3 - 6 LPA
Male,5.77,International Business,64.7,0.1,4.0,4.6,None,2,1,11 - 15 LPA
Female,4.45,Business Analytics,1.4,5.1,1.4,2.2,None,1,1,3 - 6 LPA
Prefer not to say,8.19,Operations,2.0,17.8,3.5,3.9,Member,1,0,3 - 6 LPA
Prefer not to say,5.51,HR,4.2,2.2,2.6,3.1,Coordinator,1,2,3 - 6 LPA
Female,6.55,Business Analytics,6.9,9.2,1.3,2.2,Member,3,1,3 - 6 LPA
Prefer not to say,6.33,Operations,2.6,4.4,2.1,3.9,None,2,4,7 - 10 LPA
Female,9.87,Finance,37.8,1.1,4.9,5.0,Member,2,1,11 - 15 LPA
Prefer not to say,7.16,Marketing,22.7,1.7,3.5,2.9,Organizer,2,1,7 - 10 LPA
Female,8.92,Operations,4.2,6.5,1.5,3.3,Coordinator,0,1,3 - 6 LPA
Prefer not to say,8.78,Business Analytics,16.4,7.9,1.9,2.1,None,1,2,7 - 10 LPA
Male,7.75,Business Analytics,43.5,0.5,2.5,1.0,Member,5,0,11 - 15 LPA
Prefer not to say,9.73,HR,0.1,9.0,2.8,3.6,Organizer,1,1,7 - 10 LPA
Female,8.04,Marketing,6.9,2.3,5.0,1.0,Joint Coordinator,1,1,3 - 6 LPA
Prefer not to say,5.08,Finance,21.4,1.2,3.1,2.6,Organizer,1,1,3 - 6 LPA
Female,9.42,Finance,2.9,10.3,2.2,3.0,Member,2,1,7 - 10 LPA
Prefer not to say,8.52,International Business,18.8,0.2,2.9,1.7,Organizer,3,2,11 - 15 LPA
Prefer not to say,9.43,International Business,2.4,1.8,4.0,4.0,Member,2,1,7 - 10 LPA
Male,7.97,HR,10.2,2.9,3.3,2.9,Member,5,1,7 - 10 LPA
Female,8.86,Business Analytics,29.0,1.9,4.6,2.4,None,0,1,7 - 10 LPA
Prefer not to say,9.49,International Business,4.9,5.1,2.7,2.4,Member,2,1,7 - 10 LPA
Female,8.64,Finance,9.5,4.5,3.5,1.7,Member,1,0,3 - 6 LPA
Female,4.4,International Business,1.0,0.1,3.7,1.9,Member,1,0,3 - 6 LPA
Prefer not to say,7.45,Business Analytics,6.3,6.8,3.5,4.5,Coordinator,2,2,7 - 10 LPA
Male,9.79,Finance,11.9,2.4,3.1,2.1,Member,4,1,11 - 15 LPA
Male,6.86,Business Analytics,17.1,12.6,2.6,4.1,None,4,1,7 - 10 LPA
Female,9.36,HR,2.4,6.5,4.3,3.5,Joint Coordinator,1,1,7 - 10 LPA
Prefer not to say,5.92,Marketing,71.8,5.4,3.2,4.8,None,5,1,16 - 20 LPA
Female,6.74,HR,52.2,0.2,2.8,1.0,Organizer,0,1,7 - 10 LPA
Male,5.55,Finance,25.7,2.0,4.0,3.5,None,2,0,3 - 6 LPA
Prefer not to say,5.84,Marketing,0.5,4.2,4.1,1.0,None,2,0,3 - 6 LPA
Female,7.9,Business Analytics,16.8,10.6,3.4,3.7,Coordinator,1,0,3 - 6 LPA
Male,8.88,Marketing,4.0,2.6,2.7,2.6,Member,2,0,3 - 6 LPA
Female,8.07,HR,19.5,2.7,2.3,3.8,None,3,0,7 - 10 LPA
Female,5.58,Marketing,2.0,1.1,2.1,1.2,Member,4,3,7 - 10 LPA
Prefer not to say,7.06,HR,40.4,2.9,4.3,3.3,None,0,1,7 - 10 LPA
Prefer not to say,9.42,Operations,1.7,11.1,2.3,1.8,Member,1,1,7 - 10 LPA
Male,9.13,International Business,0.7,2.6,3.7,3.2,Coordinator,2,3,7 - 10 LPA
Female,9.47,Business Analytics,7.7,6.0,1.3,1.2,None,3,1,7 - 10 LPA
Male,9.82,Marketing,16.2,1.3,2.3,3.5,Member,0,1,7 - 10 LPA
Prefer not to say,5.13,Marketing,6.4,17.5,2.2,2.5,None,3,1,3 - 6 LPA
Male,9.77,Operations,8.5,5.3,4.4,1.3,Coordinator,2,1,7 - 10 LPA
Prefer not to say,5.14,Marketing,11.7,21.7,2.8,4.8,None,2,1,3 - 6 LPA
Female,8.61,Finance,51.2,2.7,1.1,1.4,Member,3,1,11 - 15 LPA
Prefer not to say,9.87,Business Analytics,7.1,5.7,2.8,2.4,Member,6,2,11 - 15 LPA
Female,9.17,International Business,13.4,7.8,3.1,2.9,None,2,0,7 - 10 LPA
Male,9.72,International Business,21.7,25.5,4.4,1.7,Organizer,2,0,7 - 10 LPA
Male,9.46,Marketing,8.3,19.4,4.0,3.7,None,3,0,7 - 10 LPA
Female,7.79,Business Analytics,31.7,1.2,2.2,2.7,Member,1,1,7 - 10 LPA
Male,6.84,Finance,0.3,0.3,3.0,2.9,None,1,2,3 - 6 LPA
Female,8.99,HR,16.3,0.2,3.1,1.0,Joint Coordinator,4,0,7 - 10 LPA
Male,5.09,Marketing,10.0,4.1,3.8,3.9,Joint Coordinator,1,0,3 - 6 LPA
Prefer not to say,6.39,Business Analytics,21.7,3.1,2.0,3.3,Organizer,1,2,7 - 10 LPA
Prefer not to say,8.72,Finance,24.1,11.4,3.6,2.6,Joint Coordinator,4,1,11 - 15 LPA
Prefer not to say,6.5,Business Analytics,3.0,4.4,1.5,3.0,Member,1,0,3 - 6 LPA
Male,6.31,Business Analytics,7.9,2.3,2.2,1.8,Organizer,1,1,3 - 6 LPA
Female,8.11,Business Analytics,2.3,2.6,3.4,2.8,None,3,1,7 - 10 LPA
Prefer not to say,4.27,International Business,5.4,2.5,3.2,2.2,Organizer,2,1,3 - 6 LPA
Male,7.96,Business Analytics,18.9,1.1,2.3,2.5,Coordinator,3,1,7 - 10 LPA
Male,6.16,International Business,1.1,0.9,4.2,4.1,None,4,0,3 - 6 LPA
Male,4.59,Marketing,11.9,2.3,1.6,3.1,Organizer,6,1,3 - 6 LPA
Female,7.75,Finance,18.3,8.1,3.5,2.6,Organizer,1,3,7 - 10 LPA
Female,4.03,Marketing,2.2,0.5,2.8,2.2,Member,1,3,3 - 6 LPA
Prefer not to say,6.46,Finance,5.7,3.5,2.8,5.0,None,3,3,7 - 10 LPA
Male,4.46,International Business,1.1,1.0,2.7,1.9,None,1,1,3 - 6 LPA
Prefer not to say,4.42,Operations,13.4,0.7,3.8,3.6,None,1,1,3 - 6 LPA
Female,5.34,Business Analytics,9.5,15.4,3.6,2.7,None,0,0,3 - 6 LPA
Prefer not to say,8.19,Operations,3.2,2.3,2.6,2.1,None,4,3,11 - 15 LPA
Prefer not to say,5.8,International Business,20.3,1.6,3.1,3.9,Organizer,2,3,7 - 10 LPA
Female,5.58,Marketing,10.9,11.4,3.0,2.2,None,1,0,3 - 6 LPA
Prefer not to say,8.16,Operations,26.2,9.9,2.6,3.3,None,6,0,11 - 15 LPA
Prefer not to say,8.01,Business Analytics,48.3,7.2,2.7,4.3,Organizer,0,0,7 - 10 LPA
Male,9.9,Operations,10.2,0.1,3.0,3.6,Member,2,2,11 - 15 LPA
Prefer not to say,9.05,International Business,4.0,3.0,3.8,2.7,Organizer,3,0,7 - 10 LPA
Female,4.13,International Business,17.5,4.5,3.0,4.1,Organizer,2,1,3 - 6 LPA
Male,5.01,HR,10.2,0.3,3.0,2.5,Coordinator,1,0,3 - 6 LPA
Prefer not to say,6.86,HR,7.5,0.9,4.7,3.6,Organizer,2,2,7 - 10 LPA
Prefer not to say,5.17,International Business,1.5,17.3,2.1,4.1,None,2,2,3 - 6 LPA
Prefer not to say,4.24,Operations,3.9,13.9,4.3,3.1,Joint Coordinator,4,2,3 - 6 LPA
Male,8.93,Operations,3.0,2.4,1.9,3.8,Member,5,1,7 - 10 LPA
Prefer not to say,7.12,HR,4.4,39.7,2.1,2.2,Member,2,0,3 - 6 LPA
Male,8.87,Marketing,9.9,0.9,1.3,2.8,Coordinator,2,0,7 - 10 LPA
Prefer not to say,9.82,Operations,23.8,1.8,4.0,2.7,Joint Coordinator,2,1,11 - 15 LPA
Female,6.84,International Business,0.3,10.1,2.9,2.0,Organizer,3,0,3 - 6 LPA
Prefer not to say,7.92,Marketing,26.3,13.2,1.3,3.7,Member,1,1,7 - 10 LPA
Female,9.72,HR,34.1,0.2,4.4,3.3,Member,1,1,11 - 15 LPA
Female,7.69,Marketing,76.0,2.7,1.1,3.6,Coordinator,3,0,16 - 20 LPA
Prefer not to say,4.57,Marketing,15.9,2.9,5.0,3.4,Organizer,0,0,3 - 6 LPA
Prefer not to say,6.77,International Business,4.7,0.3,3.8,1.8,Coordinator,3,1,3 - 6 LPA
Female,9.84,Finance,8.7,18.3,4.8,1.0,None,4,1,7 - 10 LPA
Prefer not to say,7.53,Operations,30.1,6.4,3.1,3.1,Member,5,0,7 - 10 LPA
Prefer not to say,7.34,International Business,18.5,2.2,2.7,2.4,Member,4,1,7 - 10 LPA
Prefer not to say,8.0,Finance,6.7,0.1,1.5,2.7,Organizer,0,1,3 - 6 LPA
Female,6.72,International Business,4.9,5.6,3.0,3.2,Member,3,0,3 - 6 LPA
Prefer not to say,6.42,Operations,15.5,0.0,3.4,2.2,Member,2,0,3 - 6 LPA
Prefer not to say,9.51,Business Analytics,0.2,1.3,4.7,2.3,Member,3,2,7 - 10 LPA
Male,6.69,Marketing,0.3,0.4,2.7,2.2,Organizer,0,1,3 - 6 LPA
Prefer not to say,8.67,Finance,30.8,3.0,3.6,3.0,None,2,2,11 - 15 LPA
Female,9.83,Business Analytics,50.3,2.9,2.0,3.6,Coordinator,2,0,11 - 15 LPA
Prefer not to say,6.49,Business Analytics,3.9,6.9,3.4,2.6,None,1,0,3 - 6 LPA
Male,7.86,Marketing,1.6,3.9,3.8,2.7,Coordinator,0,1,3 - 6 LPA
Male,4.53,Business Analytics,3.4,0.6,3.3,3.0,Joint Coordinator,0,1,3 - 6 LPA
Male,6.04,HR,6.0,13.5,2.3,1.6,Member,1,0,3 - 6 LPA
Female,4.69,Operations,5.3,10.3,3.4,2.4,Member,2,0,3 - 6 LPA
Female,9.92,HR,2.9,5.0,1.0,4.1,Member,5,1,7 - 10 LPA
Prefer not to say,5.14,Business Analytics,9.9,15.6,3.3,2.7,None,1,2,3 - 6 LPA
Prefer not to say,5.82,Business Analytics,7.4,10.1,2.3,4.6,Member,4,2,7 - 10 LPA
Female,7.66,Finance,0.4,7.4,3.8,3.7,Coordinator,1,0,3 - 6 LPA
Male,9.68,Business Analytics,16.9,0.6,3.5,2.0,Member,2,1,7 - 10 LPA
Male,7.26,International Business,47.5,5.9,3.5,2.2,Member,2,0,7 - 10 LPA
Prefer not to say,9.15,Marketing,30.9,3.8,1.0,2.4,Member,2,1,11 - 15 LPA
Female,9.38,Business Analytics,5.7,5.2,4.0,2.2,Coordinator,0,0,3 - 6 LPA
Male,8.81,Operations,3.0,5.9,3.0,3.5,Organizer,1,1,7 - 10 LPA
Male,8.34,Operations,22.5,4.2,2.3,4.1,None,2,0,7 - 10 LPA
Male,7.91,Marketing,16.0,4.1,2.9,4.4,Organizer,3,2,7 - 10 LPA
Female,7.09,Marketing,1.9,2.0,2.5,3.2,Member,3,2,7 - 10 LPA
Male,6.48,HR,37.8,1.4,3.0,3.7,Organizer,0,1,7 - 10 LPA
Female,5.69,HR,11.7,4.0,2.1,3.0,Joint Coordinator,4,0,3 - 6 LPA
Male,9.47,Finance,21.5,0.7,3.0,2.5,Coordinator,0,3,11 - 15 LPA
Prefer not to say,5.95,Business Analytics,7.0,3.9,3.3,1.8,Coordinator,5,0,3 - 6 LPA
Female,9.4,HR,18.0,1.3,3.7,3.1,Joint Coordinator,1,2,11 - 15 LPA
Prefer not to say,5.61,Business Analytics,33.3,11.2,2.6,2.9,Coordinator,1,0,3 - 6 LPA
Prefer not to say,6.36,HR,1.6,18.9,2.9,2.5,Coordinator,1,0,3 - 6 LPA
Male,7.28,Business Analytics,22.2,18.0,2.4,3.3,Organizer,0,1,7 - 10 LPA
Female,6.68,Operations,56.3,10.3,4.4,3.7,Organizer,2,1,11 - 15 LPA
Female,4.67,Business Analytics,12.6,2.6,4.5,5.0,Organizer,1,1,3 - 6 LPA
Prefer not to say,5.89,Operations,8.8,4.1,3.4,3.9,Coordinator,0,3,3 - 6 LPA
Male,8.55,Operations,9.8,8.0,4.1,2.9,Member,0,0,3 - 6 LPA
Female,7.29,International Business,15.8,1.0,2.1,2.9,Organizer,5,4,11 - 15 LPA
Prefer not to say,6.2,HR,17.2,5.4,1.5,4.2,Coordinator,4,0,3 - 6 LPA
Prefer not to say,4.16,International Business,0.1,1.5,4.2,1.0,Member,3,0,3 - 6 LPA
Female,4.29,Finance,14.4,7.4,3.8,2.6,None,2,0,3 - 6 LPA
Female,5.81,Operations,0.4,9.1,3.4,2.9,Coordinator,3,0,3 - 6 LPA
Prefer not to say,7.94,Business Analytics,7.4,0.9,2.1,4.7,Member,5,1,7 - 10 LPA
Prefer not to say,7.88,Marketing,4.5,3.4,4.0,3.3,None,0,0,3 - 6 LPA
Prefer not to say,6.76,Marketing,16.4,1.1,3.0,2.3,Member,1,0,3 - 6 LPA
Prefer not to say,7.98,HR,2.1,1.6,3.6,3.0,Member,2,1,3 - 6 LPA
Male,7.4,International Business,28.1,26.6,2.1,4.5,Member,2,2,7 - 10 LPA
Male,8.3,Operations,37.2,15.2,3.9,4.4,Member,1,0,7 - 10 LPA
Male,6.91,Operations,2.6,5.2,3.4,5.0,Member,0,0,3 - 6 LPA
Female,4.68,Operations,2.5,27.6,1.7,2.0,None,0,2,3 - 6 LPA
Male,9.52,International Business,24.2,1.6,1.0,2.0,None,2,1,11 - 15 LPA
Male,6.81,Marketing,29.6,1.5,3.2,2.2,Joint Coordinator,1,1,7 - 10 LPA
Male,6.17,Finance,4.5,0.6,2.6,3.1,None,4,2,7 - 10 LPA
Prefer not to say,9.95,Business Analytics,0.3,1.5,2.4,3.6,Coordinator,5,0,7 - 10 LPA
Prefer not to say,7.08,Operations,15.7,3.7,1.1,4.6,Organizer,3,1,7 - 10 LPA
Prefer not to say,8.9,Marketing,0.9,2.4,1.9,4.6,Organizer,2,2,7 - 10 LPA
Male,7.86,HR,2.7,6.7,2.2,1.0,Organizer,3,0,3 - 6 LPA
Female,6.72,Marketing,13.6,3.1,4.2,2.6,None,0,0,3 - 6 LPA
Female,8.87,Business Analytics,38.0,3.2,2.8,3.2,Joint Coordinator,3,0,11 - 15 LPA
Male,4.54,Marketing,4.5,8.6,1.0,3.7,Member,2,2,3 - 6 LPA
Female,9.03,Finance,18.0,0.1,3.5,1.6,Joint Coordinator,2,1,7 - 10 LPA
Male,6.34,Finance,6.9,6.7,2.8,2.9,Organizer,1,2,3 - 6 LPA
Female,4.31,International Business,47.9,1.1,3.6,3.3,Joint Coordinator,2,0,3 - 6 LPA
Prefer not to say,7.68,HR,14.2,7.8,2.4,3.4,Joint Coordinator,2,0,3 - 6 LPA
Prefer not to say,4.52,Marketing,22.8,1.0,3.4,2.6,Joint Coordinator,3,2,7 - 10 LPA
Male,5.29,HR,0.9,6.4,2.0,3.1,Coordinator,1,0,3 - 6 LPA
Female,9.71,HR,17.2,0.0,2.7,4.8,Organizer,5,1,11 - 15 LPA
Male,6.71,Marketing,3.0,1.5,3.2,3.6,Joint Coordinator,4,1,3 - 6 LPA
Prefer not to say,9.13,Operations,29.3,14.0,2.9,1.9,Joint Coordinator,1,1,11 - 15 LPA
Prefer not to say,9.12,Operations,2.9,2.7,4.4,4.6,Organizer,0,4,11 - 15 LPA
Male,9.46,HR,28.3,19.0,3.3,3.3,Coordinator,1,2,11 - 15 LPA
Female,6.05,Operations,17.4,3.9,2.2,4.2,Organizer,3,0,3 - 6 LPA
Female,7.55,Marketing,20.3,1.0,3.9,2.7,Organizer,2,0,7 - 10 LPA
Male,5.4,Marketing,4.1,4.1,2.0,3.2,Joint Coordinator,6,0,3 - 6 LPA
Prefer not to say,7.1,International Business,10.7,1.5,2.6,4.9,Coordinator,3,1,7 - 10 LPA
Prefer not to say,8.1,International Business,9.1,10.4,3.6,3.6,Member,0,1,3 - 6 LPA
Female,4.15,Operations,3.7,3.9,2.2,3.7,Organizer,0,3,3 - 6 LPA
Male,7.37,International Business,22.9,22.3,1.0,4.2,Member,2,2,7 - 10 LPA
Male,6.46,HR,16.0,1.9,3.9,3.3,Member,3,2,7 - 10 LPA
Male,5.01,Finance,4.9,2.0,3.4,3.1,Member,2,0,3 - 6 LPA
Female,6.39,Operations,27.0,14.8,2.2,2.1,Organizer,1,3,7 - 10 LPA
Male,5.55,Business Analytics,3.9,0.1,3.5,3.4,None,1,1,3 - 6 LPA
Prefer not to say,4.63,HR,8.7,3.9,3.6,4.0,Member,1,0,3 - 6 LPA
Male,4.74,Marketing,5.1,7.8,3.6,2.5,Coordinator,2,1,3 - 6 LPA
Female,4.04,HR,38.3,0.4,3.2,4.5,Member,1,0,3 - 6 LPA
Prefer not to say,8.67,Business Analytics,33.3,4.5,2.5,2.8,None,2,1,11 - 15 LPA
Prefer not to say,4.07,Finance,1.8,7.2,2.4,2.7,Member,2,1,3 - 6 LPA
Prefer not to say,7.98,HR,6.8,7.5,4.5,4.2,Coordinator,3,0,3 - 6 LPA
Prefer not to say,8.68,Operations,21.5,1.7,3.3,4.0,Member,1,1,7 - 10 LPA
Female,4.54,Marketing,9.2,30.2,3.4,4.8,Organizer,1,3,3 - 6 LPA
Male,5.25,Finance,3.0,4.4,3.7,2.0,Member,1,1,3 - 6 LPA
Female,8.95,Business Analytics,6.6,2.5,1.7,4.9,Joint Coordinator,0,1,7 - 10 LPA
Prefer not to say,9.93,HR,45.1,8.0,2.0,2.1,None,0,1,11 - 15 LPA
Female,9.14,International Business,21.9,2.8,3.0,1.6,Joint Coordinator,3,0,7 - 10 LPA
Prefer not to say,8.8,Business Analytics,6.1,2.0,2.1,3.0,Joint Coordinator,2,3,7 - 10 LPA
Prefer not to say,6.92,HR,25.4,5.1,2.8,2.8,Organizer,3,2,7 - 10 LPA
Female,8.05,Operations,2.8,0.8,3.5,3.4,Organizer,1,0,3 - 6 LPA
Prefer not to say,9.47,Finance,5.1,10.3,3.3,2.9,Member,1,1,7 - 10 LPA
Male,5.29,Operations,9.2,5.2,3.8,1.2,Organizer,1,1,3 - 6 LPA
Male,8.14,International Business,15.7,13.7,2.8,3.0,Joint Coordinator,4,0,7 - 10 LPA
Prefer not to say,7.99,International Business,4.2,3.7,1.0,1.8,Member,1,2,7 - 10 LPA
Female,5.15,Operations,1.3,6.7,1.9,2.3,Coordinator,3,1,3 - 6 LPA
Prefer not to say,7.82,International Business,1.6,4.8,1.6,3.4,Coordinator,2,2,7 - 10 LPA
Male,8.35,International Business,26.3,1.4,3.7,2.2,Organizer,1,0,7 - 10 LPA
Male,6.39,HR,26.5,3.3,3.7,4.1,None,1,1,7 - 10 LPA
Female,6.11,Operations,17.5,3.7,2.4,4.4,Organizer,1,2,7 - 10 LPA
Male,6.35,International Business,39.4,0.8,2.1,2.1,None,2,1,7 - 10 LPA
Male,7.64,Business Analytics,10.6,4.1,3.2,2.4,Organizer,2,1,7 - 10 LPA
Male,4.75,Business Analytics,4.0,6.8,4.5,3.4,Coordinator,3,1,3 - 6 LPA
Prefer not to say,6.77,Marketing,3.2,14.7,1.6,2.6,Member,3,1,3 - 6 LPA
Prefer not to say,8.84,International Business,34.1,9.3,3.2,3.7,Organizer,2,1,11 - 15 LPA
Male,8.17,Operations,7.9,1.0,3.2,3.2,Member,2,4,11 - 15 LPA
Prefer not to say,6.69,Finance,51.6,3.7,1.7,4.5,Joint Coordinator,4,2,11 - 15 LPA
Female,4.8,HR,1.9,15.4,3.4,3.1,Coordinator,3,1,3 - 6 LPA
Female,5.79,International Business,7.0,0.5,2.4,1.9,Member,2,0,3 - 6 LPA
Male,7.34,Marketing,14.2,12.0,2.4,3.9,Joint Coordinator,1,2,7 - 10 LPA
Prefer not to say,4.82,Business Analytics,10.0,1.4,3.3,4.3,Coordinator,2,2,3 - 6 LPA
Female,7.03,Operations,27.5,1.0,1.0,3.6,Member,1,1,7 - 10 LPA
Male,4.39,Operations,19.3,6.1,3.0,4.0,Joint Coordinator,2,0,3 - 6 LPA
Prefer not to say,5.38,Operations,4.1,2.5,1.5,2.6,Member,3,0,3 - 6 LPA
Prefer not to say,6.52,Operations,7.3,2.6,3.1,3.7,Joint Coordinator,1,2,3 - 6 LPA
Prefer not to say,4.76,Finance,5.4,1.1,3.3,2.3,Member,2,1,3 - 6 LPA
Male,7.44,HR,7.5,2.5,3.5,2.8,None,1,1,3 - 6 LPA
Male,9.87,Operations,57.3,2.3,4.1,1.3,Member,1,1,16 - 20 LPA
Female,7.92,Finance,7.3,7.2,3.1,5.0,None,2,0,3 - 6 LPA
Male,5.48,International Business,1.0,7.5,2.2,2.8,Member,3,0,3 - 6 LPA
Prefer not to say,6.75,HR,32.5,1.3,3.5,3.1,Member,4,3,11 - 15 LPA
Female,7.01,Marketing,13.9,5.6,3.6,3.5,None,0,3,7 - 10 LPA
Prefer not to say,4.25,International Business,8.8,10.2,4.3,3.3,None,2,3,3 - 6 LPA
Male,6.59,HR,76.1,8.8,3.7,3.1,Organizer,4,0,11 - 15 LPA
Female,7.07,HR,12.9,1.7,3.1,3.8,Coordinator,2,1,7 - 10 LPA
Prefer not to say,7.85,Business Analytics,14.0,5.3,1.7,3.1,Organizer,2,1,7 - 10 LPA
Prefer not to say,4.53,Marketing,16.3,3.3,3.4,2.2,None,1,0,3 - 6 LPA
Male,9.59,Marketing,3.9,3.3,2.9,3.2,Joint Coordinator,2,2,7 - 10 LPA
Female,7.76,Operations,14.1,3.2,1.6,3.7,Organizer,3,1,7 - 10 LPA
Male,5.52,Business Analytics,15.7,8.6,1.0,2.5,Joint Coordinator,1,2,3 - 6 LPA
Male,9.61,Operations,19.5,2.2,1.8,1.4,None,0,1,7 - 10 LPA
Prefer not to say,8.2,Finance,19.6,11.1,4.7,3.4,None,2,1,7 - 10 LPA
Female,5.89,Marketing,10.4,9.0,2.2,3.7,None,1,1,3 - 6 LPA
Male,6.57,Finance,16.3,3.3,4.4,4.6,Organizer,1,0,3 - 6 LPA
Male,5.03,International Business,9.7,2.9,2.8,1.7,Member,1,0,3 - 6 LPA
Male,7.89,Business Analytics,18.4,17.0,3.0,2.3,Organizer,5,0,7 - 10 LPA
Male,5.65,Operations,0.3,16.2,3.5,1.2,Member,1,0,3 - 6 LPA
Female,5.92,HR,14.3,21.4,4.4,5.0,Joint Coordinator,0,1,3 - 6 LPA
Female,9.44,Finance,11.6,1.1,3.1,3.0,None,1,0,7 - 10 LPA
Male,7.58,HR,1.4,8.7,3.1,2.0,Member,0,2,3 - 6 LPA
Male,9.23,Marketing,24.3,1.9,1.6,2.4,Member,5,0,11 - 15 LPA
Prefer not to say,8.12,Business Analytics,11.9,5.5,2.8,3.4,Member,1,0,3 - 6 LPA
Prefer not to say,5.25,Business Analytics,12.1,15.1,1.8,1.8,Member,3,1,3 - 6 LPA
Male,8.69,Marketing,12.4,1.6,3.3,4.2,None,1,1,7 - 10 LPA
Female,8.37,HR,0.2,9.5,2.3,2.5,None,3,1,7 - 10 LPA
Prefer not to say,6.45,Marketing,2.0,8.6,4.2,2.2,Member,2,0,3 - 6 LPA
Male,7.57,Business Analytics,45.8,6.2,3.1,2.1,Coordinator,1,0,7 - 10 LPA
Prefer not to say,8.89,International Business,33.7,7.4,4.9,3.5,Organizer,4,0,11 - 15 LPA
Male,8.03,International Business,3.6,10.0,4.8,3.1,Coordinator,2,0,3 - 6 LPA
